"Source:","C:\Projects\BANO\From20221028\Main_PCB_004\Main_PCB_002.kicad_sch"
"Date:","03.12.2022 8:59:37"
"Tool:","Eeschema (6.0.4)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","240"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"IC4, ","1","LM3488MM","LM3488MM","libraries:SOP65P490X110-8N","2.97V to 40V Wide Vin Low-Side N-Channel Controller for Switching Regulators",""
"IC5, ","1","LM3478MMX_NOPB","LM3478MMX_NOPB","libraries:SOP65P490X110-8N","40V Wide Vin Low-Side N-Channel Controller for Switching Regulator",""
"L1, L5, L7, ","3","TFM201610ALC-R47MTAA","TFM201610ALC-R47MTAA","libraries:INDC2016X80N","Inductors for Power Circuits, for Consumer, Thin Film Metal, TFM201610ALC ,-40 to +125",""
"L2, ","1","SRP7050AA-220M","SRP7050AA-220M","libraries:INDPM5752X300N","Shielded Power Inductor 22uH",""
"L3, L8, L9, L10, ","4","SRP4020TA-100M","SRP4020TA-100M","libraries:INDPM4441X200N","Bourns SRP4020TA Series Shielded Wire-wound SMD Inductor with a Carbonyl Powder Core, 10 uH +/-20% 1.8A Idc",""
"L4, ","1","TFM201610ALC-R47MTAA","TFM201610ALC-R47MTAA","libraries:WPN252010UR47MT","Inductors for Power Circuits, for Consumer, Thin Film Metal, TFM201610ALC ,-40 to +125",""
"L6, ","1","TFM201610ALC-R47MTAA","TFM201610ALC-R47MTAA","libraries:INDPM5752X300N","Inductors for Power Circuits, for Consumer, Thin Film Metal, TFM201610ALC ,-40 to +125",""
"Q1, Q2, Q3, Q4, Q5, ","5","AON7407","AON7407","libraries:DFN_3X3_EP","MOSFET P-CH 20V 14.5A 8DFN",""
"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, ","38","R","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor",""
"U1, U6, U7, U8, U14, U21, ","6","INA138","INA138","Package_TO_SOT_SMD:SOT-23-5","High-Side Measurement Current Shunt Monitor, 36V, SOT-23-5",""
"U2, U3, U4, U5, ","4","Mounting_Hole_M2","Mounting_Hole_M2","mount_holes:Hole_screw_M1p2","",""
"U9, U10, U11, U12, U13, U15, U16, U17, U18, U19, U20, U22, U23, ","13","MCP9700AT-ETT","MCP9700AT-ETT","Package_TO_SOT_SMD:SOT-23","Low power, analog thermistor temperature sensor, Â±2C accuracy, -40C to +125C, in SOT-23-3",""
"Z1, Z2, ","2","BZT52-C5V1J","MM3Zxx","Diode_SMD:D_SOD-323F","300mW Zener Diode, SOD-323F",""
